,Stock_Name,Date,Open,High,Close,Volume,Stocks_Sold,Stocks_Profit
0,BA,1979-12-31,4.0883,4.1305,4.1136,1327214,0,0.0
1,CVX,1979-12-31,2.4343,2.4581,2.4343,163504,0,0.0
2,HON,1979-12-31,3.38,3.4403,3.4148,207878,0,0.0
3,MCD,1979-12-31,0.8582,0.8663,0.8582,785376,0,0.0
4,MO,1979-12-31,0.10243,0.10243,0.10243,6951678,4,0.40562279999999995
5,UTX,1979-12-31,1.1989,1.1989,1.1906,564197,0,0.0
6,INTC,1979-12-31,0.28077,0.28868,0.28077,3519525,52,14.861246399999999
