,Stock,Total_Return,Total_Years,Start_Date,End_Date
6670,UVE,914.138439410284,12.706365503080082,2005-02-25,2017-11-10
4410,MYNDW,379.952380952381,0.3258042436687201,2017-07-14,2017-11-10
4525,NFLX,125.58735375312212,12.706365503080082,2005-02-25,2017-11-10
769,BIDU,87.73333333333333,12.268309377138946,2005-08-04,2017-11-10
5005,PCLN,75.970733903647,12.706365503080082,2005-02-25,2017-11-10
5441,REGN,63.09873617693523,12.706365503080082,2005-02-25,2017-11-10
4701,NVDA,63.04533872243212,17.853524982888434,2000-01-03,2017-11-10
1984,EBIX,53.522924411400254,12.706365503080082,2005-02-25,2017-11-10
12,AAPL,52.87356392455612,17.853524982888434,2000-01-03,2017-11-10
3344,ILMN,48.63744075829384,12.706365503080082,2005-02-25,2017-11-10
1087,CBPO,46.55135135135135,11.299110198494182,2006-07-24,2017-11-10
2757,GILD,44.71172949959893,17.853524982888434,2000-01-03,2017-11-10
6433,TREC,39.51724137931035,12.706365503080082,2005-02-25,2017-11-10
6139,STRP,39.3668903803132,4.262833675564682,2013-08-06,2017-11-10
6434,TREE,39.146153846153844,9.245722108145106,2008-08-12,2017-11-10
4011,MA,38.804380182862,11.46611909650924,2006-05-24,2017-11-10
6743,VKTXW,35.0,1.5906913073237507,2016-04-08,2017-11-10
3205,HUM,34.63902621830813,17.853524982888434,2000-01-03,2017-11-10
944,BSTC,34.583999999999996,12.698151950718685,2005-02-28,2017-11-10
6606,UNH,34.581575057115984,17.853524982888434,2000-01-03,2017-11-10
5845,SILC,33.33874709976798,12.706365503080082,2005-02-25,2017-11-10
261,ALGN,32.468666666666664,12.706365503080082,2005-02-25,2017-11-10
4659,NTES,32.27945882881822,12.706365503080082,2005-02-25,2017-11-10
5577,ROST,32.26424346595218,17.853524982888434,2000-01-03,2017-11-10
2151,EOG,28.772289566104,17.853524982888434,2000-01-03,2017-11-10
127,AET,27.24045034177724,17.853524982888434,2000-01-03,2017-11-10
6933,WINS,27.22085889570552,1.6071184120465434,2015-10-29,2017-06-07
7113,ZAGG,25.41333333333333,10.297056810403832,2007-07-25,2017-11-10
2895,GSB,25.411838874510586,12.695414099931554,2005-03-01,2017-11-10
1515,CRM,25.019753086419755,12.706365503080082,2005-02-25,2017-11-10
2439,FIZZ,24.91842105263158,12.706365503080082,2005-02-25,2017-11-10
4508,NEU,24.804814573845153,12.706365503080082,2005-02-25,2017-11-10
3476,ISRG,23.966490074679264,12.706365503080082,2005-02-25,2017-11-10
6723,VHC,23.75,12.706365503080082,2005-02-25,2017-11-10
2021,EDU,23.55137502488411,11.178644763860369,2006-09-06,2017-11-10
4104,MED,23.279195187720394,12.706365503080082,2005-02-25,2017-11-10
4837,OLED,23.132461921299463,12.706365503080082,2005-02-25,2017-11-10
6537,TYL,23.052112676056343,12.706365503080082,2005-02-25,2017-11-10
6274,TDG,23.033919374889006,11.66050650239562,2006-03-14,2017-11-10
538,ATRO,22.843656190651227,17.853524982888434,2000-01-03,2017-11-10
5835,SHW,22.120407679544915,17.853524982888434,2000-01-03,2017-11-10
5759,SEB,22.11545444836057,17.853524982888434,2000-01-03,2017-11-10
3171,HSIC,21.423263327948305,17.853524982888434,2000-01-03,2017-11-10
588,AXGN,21.38739540680078,17.853524982888434,2000-01-03,2017-11-10
23,ABC,21.161209213606543,17.853524982888434,2000-01-03,2017-11-10
2845,GOOGL,20.81388078365986,13.22655715263518,2004-08-19,2017-11-10
5706,SBUX,20.713139873633235,17.853524982888434,2000-01-03,2017-11-10
4282,MPWR,20.361920738100228,12.706365503080082,2005-02-25,2017-11-10
3477,ISRL,20.102127659574467,12.700889801505818,2005-02-25,2017-11-08
552,AUMN,19.999999999999996,8.558521560574949,2009-04-20,2017-11-10
5613,RTRX,19.789670658682635,9.820670773442847,2008-01-15,2017-11-10
1789,DHIL,19.529446465440962,12.706365503080082,2005-02-25,2017-11-10
1869,DPZ,19.349689921585384,12.706365503080082,2005-02-25,2017-11-10
280,ALNY,18.942634560906516,12.706365503080082,2005-02-25,2017-11-10
605,AZO,18.927540983606555,17.853524982888434,2000-01-03,2017-11-10
297,ALXN,18.836037574722457,12.706365503080082,2005-02-25,2017-11-10
4433,NATH,18.81100795755968,12.706365503080082,2005-02-25,2017-11-10
3917,LMT,18.706626201315125,17.853524982888434,2000-01-03,2017-11-10
564,AVGO,18.689853788214442,8.265571526351813,2009-08-05,2017-11-10
1582,CTRP,18.643776824034337,12.706365503080082,2005-02-25,2017-11-10
5680,SBAC,18.600461893764436,12.706365503080082,2005-02-25,2017-11-10
4307,MSA,18.57048485603889,17.8507871321013,2000-01-04,2017-11-10
37,ABMD,18.522388059701488,12.706365503080082,2005-02-25,2017-11-10
5636,RYAAY,18.36050047788687,17.853524982888434,2000-01-03,2017-11-10
5038,PEGA,18.215469231035318,12.706365503080082,2005-02-25,2017-11-10
5482,RGEN,18.074074074074073,12.706365503080082,2005-02-25,2017-11-10
819,BLL,17.250623158848857,17.853524982888434,2000-01-03,2017-11-10
6477,TSLA,17.138823529411766,7.370294318959616,2010-06-28,2017-11-10
5885,SLP,16.91125541125541,12.706365503080082,2005-02-25,2017-11-10
4250,MO,16.894159583219086,17.853524982888434,2000-01-03,2017-11-10
1360,CMI,16.210912052117266,17.853524982888434,2000-01-03,2017-11-10
1107,CCF,16.156443988837633,12.706365503080082,2005-02-25,2017-11-10
6793,VRTS,16.110812158955213,8.854209445585216,2009-01-02,2017-11-10
3895,LKQ,15.984018264840184,12.706365503080082,2005-02-25,2017-11-10
6268,TCX,15.853932584269662,12.706365503080082,2005-02-25,2017-11-10
7074,XPO,15.72685185185185,12.706365503080082,2005-02-25,2017-11-10
1885,DSGX,15.538461538461538,12.706365503080082,2005-02-25,2017-11-10
4496,NEOG,15.289370078740157,12.706365503080082,2005-02-25,2017-11-10
4199,MKTX,15.235621521335808,12.706365503080082,2005-02-25,2017-11-10
6177,SWKS,14.982795698924733,12.706365503080082,2005-02-25,2017-11-10
2224,ESRX,14.892388451443567,17.853524982888434,2000-01-03,2017-11-10
4605,NOC,14.85754352542732,17.853524982888434,2000-01-03,2017-11-10
6353,TJX,14.824453105639039,17.853524982888434,2000-01-03,2017-11-10
4109,MELI,14.689477303988996,10.255989048596852,2007-08-09,2017-11-10
6732,VIPS,14.62730627306273,5.634496919917864,2012-03-23,2017-11-10
6417,TPL,14.567490422894915,12.706365503080082,2005-02-25,2017-11-10
101,ADSK,14.492462311557789,17.853524982888434,2000-01-03,2017-11-10
844,BMRN,14.43796992481203,12.706365503080082,2005-02-25,2017-11-10
6593,ULTI,14.288461538461538,12.706365503080082,2005-02-25,2017-11-10
537,ATRI,14.186172094229727,12.706365503080082,2005-02-25,2017-11-10
6375,TMO,14.076596747584256,17.853524982888434,2000-01-03,2017-11-10
4020,MAG,14.065789473684209,12.706365503080082,2005-02-25,2017-11-10
376,ANTM,13.940301562393394,17.853524982888434,2000-01-03,2017-11-10
1156,CELG,13.76546762589928,12.706365503080082,2005-02-25,2017-11-10
1531,CRWS,13.738984674329501,12.706365503080082,2005-02-25,2017-11-10
689,BCR,13.578046236746047,17.853524982888434,2000-01-03,2017-11-10
384,AOS,13.570521721880578,12.706365503080082,2005-02-25,2017-11-10
350,AMZN,13.316888045540798,17.853524982888434,2000-01-03,2017-11-10
5936,SNHY,13.206721562619688,12.706365503080082,2005-02-25,2017-11-10
1784,DGX,13.100874202687756,17.853524982888434,2000-01-03,2017-11-10
30,ABEOW,12.866666666666667,2.8939082819986313,2014-12-19,2017-11-10
3417,IONS,12.822222222222223,12.706365503080082,2005-02-25,2017-11-10
3431,IPGP,12.735382354741935,10.913073237508556,2006-12-12,2017-11-10
7107,YUM,12.6712591678662,17.853524982888434,2000-01-03,2017-11-10
639,BAP,12.652829656776376,12.706365503080082,2005-02-25,2017-11-10
1182,CF,12.64716044050961,12.251882272416154,2005-08-10,2017-11-10
2294,EXAS,12.615505617977526,12.706365503080082,2005-02-25,2017-11-10
4878,OPK,12.571428571428573,12.706365503080082,2005-02-25,2017-11-10
6149,STZ-B,12.5198958720714,7.186858316221766,2010-08-24,2017-10-31
3276,ICE,12.492675404780261,11.986310746064339,2005-11-15,2017-11-10
4956,PATK,12.489464160198603,12.706365503080082,2005-02-25,2017-11-10
5566,ROK,12.446666202187696,17.853524982888434,2000-01-03,2017-11-10
2082,ELLI,12.273972602739724,6.562628336755647,2011-04-19,2017-11-10
4261,MON,12.255332251021665,17.045859000684462,2000-10-24,2017-11-10
3280,ICLR,12.158371040723981,12.706365503080082,2005-02-25,2017-11-10
3041,HEI,12.108484507367478,12.706365503080082,2005-02-25,2017-11-10
6886,WEC,12.065503195042375,17.853524982888434,2000-01-03,2017-11-10
1011,CACC,11.964936247723132,12.706365503080082,2005-02-25,2017-11-10
6797,VRTX,11.923809523809522,12.706365503080082,2005-02-25,2017-11-10
2175,EQIX,11.920384625629278,12.706365503080082,2005-02-25,2017-11-10
2306,EXPO,11.890469468273787,12.706365503080082,2005-02-25,2017-11-10
688,BCPC,11.781690678807694,12.706365503080082,2005-02-25,2017-11-10
1359,CMG,11.772727272727273,11.791923340177961,2006-01-25,2017-11-10
6609,UNP,11.771795346406368,17.853524982888434,2000-01-03,2017-11-10
2956,GWPH,11.646067415730336,4.525667351129363,2013-05-02,2017-11-10
5426,RDNT,11.624999999999998,12.706365503080082,2005-02-25,2017-11-10
3481,IT,11.62325830653805,12.706365503080082,2005-02-25,2017-11-10
1656,CXO,11.613913043478261,10.275154004106776,2007-08-02,2017-11-10
495,ASML,11.607872026941697,12.706365503080082,2005-02-25,2017-11-10
190,AGX,11.577929084347213,12.673511293634498,2005-03-09,2017-11-10
1562,CSX,11.51210728920899,17.853524982888434,2000-01-03,2017-11-10
3370,INCY,11.495838287752676,12.706365503080082,2005-02-25,2017-11-10
6216,TAL,11.458282458282458,7.052703627652293,2010-10-22,2017-11-10
4174,MIDD,11.394042754381816,12.706365503080082,2005-02-25,2017-11-10
610,AZZ,11.392331203111976,12.706365503080082,2005-02-25,2017-11-10
10,AAON,11.33787347808808,12.706365503080082,2005-02-25,2017-11-10
3264,IBO,11.32,0.08213552361396304,2017-10-11,2017-11-10
5148,PLUS,11.26984126984127,12.706365503080082,2005-02-25,2017-11-10
6715,VFC,11.253427532176831,17.853524982888434,2000-01-03,2017-11-10
1527,CRUS,11.244680851063828,12.706365503080082,2005-02-25,2017-11-10
4796,ODFL,11.210085749285422,12.706365503080082,2005-02-25,2017-11-10
4344,MTD,11.167346146379344,12.706365503080082,2005-02-25,2017-11-10
606,AZPN,11.122486288848265,12.706365503080082,2005-02-25,2017-11-10
2266,EVI,10.940362269309636,12.706365503080082,2005-02-25,2017-11-10
5828,SHOO,10.907251919801597,12.706365503080082,2005-02-25,2017-11-10
1826,DLR,10.904529480671613,12.706365503080082,2005-02-25,2017-11-10
6127,STMP,10.892712550607287,12.706365503080082,2005-02-25,2017-11-10
1062,CB,10.836814214463839,17.853524982888434,2000-01-03,2017-11-10
772,BIIB,10.811292156119743,17.853524982888434,2000-01-03,2017-11-10
5795,SGEN,10.781124497991966,12.706365503080082,2005-02-25,2017-11-10
3884,LINK,10.666666666666668,7.542778918548939,2010-04-26,2017-11-10
4073,MCO,10.65122704371851,17.10335386721424,2000-10-03,2017-11-10
4990,PCAR,10.56105588616643,17.853524982888434,2000-01-03,2017-11-10
5986,SPG,10.534955472968235,17.853524982888434,2000-01-03,2017-11-10
87,ADBE,10.392991239048811,17.853524982888434,2000-01-03,2017-11-10
6592,ULTA,10.37,10.047912388774812,2007-10-24,2017-11-10
4200,MLAB,10.326020184291357,12.706365503080082,2005-02-25,2017-11-10
5091,PGR,10.31152280764184,17.853524982888434,2000-01-03,2017-11-10
3023,HDB,10.241860135900339,12.706365503080082,2005-02-25,2017-11-10
2979,HALO,10.23529411764706,12.706365503080082,2005-02-25,2017-11-10
5280,PSMT,10.145903742430303,12.706365503080082,2005-02-25,2017-11-10
546,ATVI,10.137009764969717,12.706365503080082,2005-02-25,2017-11-10
1030,CALM,10.111945341241835,12.706365503080082,2005-02-25,2017-11-10
5496,RHT,10.091718610863758,12.706365503080082,2005-02-25,2017-11-10
489,ASGN,9.97860962566845,12.706365503080082,2005-02-25,2017-11-10
2330,FAST,9.916666666666666,17.853524982888434,2000-01-03,2017-11-10
4357,MTN,9.898680665242033,12.706365503080082,2005-02-25,2017-11-10
5856,SIX,9.892434106986068,7.501711156741957,2010-05-11,2017-11-10
4152,MGPI,9.851481290789419,12.706365503080082,2005-02-25,2017-11-10
6678,V,9.712714053381806,9.648186173853524,2008-03-18,2017-11-10
4562,NKE,9.666943615695457,17.853524982888434,2000-01-03,2017-11-10
3191,HTHT,9.661611532372303,7.630390143737166,2010-03-25,2017-11-10
1208,CGNX,9.644788537092674,12.706365503080082,2005-02-25,2017-11-10
3301,IDXX,9.633782824698368,12.706365503080082,2005-02-25,2017-11-10
1856,DORM,9.576044129235619,12.706365503080082,2005-02-25,2017-11-10
1434,COHR,9.572792362768498,12.706365503080082,2005-02-25,2017-11-10
2881,GRMN,9.560553633217992,16.922655715263517,2000-12-08,2017-11-10
3492,ITT,9.556090761883288,17.853524982888434,2000-01-03,2017-11-10
5569,ROL,9.448350321577005,12.706365503080082,2005-02-25,2017-11-10
2430,FISV,9.420753952168624,17.853524982888434,2000-01-03,2017-11-10
1875,DRI,9.396927980724584,17.853524982888434,2000-01-03,2017-11-10
1948,DXPE,9.393129770992365,12.706365503080082,2005-02-25,2017-11-10
707,BDX,9.357406723309937,17.853524982888434,2000-01-03,2017-11-10
6192,SYK,9.316777990873618,17.853524982888434,2000-01-03,2017-11-10
1171,CERN,9.300078554595444,12.706365503080082,2005-02-25,2017-11-10
4670,NTRI,9.267028111592564,12.706365503080082,2005-02-25,2017-11-10
6049,SRE,9.248268873501097,17.853524982888434,2000-01-03,2017-11-10
2678,GD,9.060802392225268,17.853524982888434,2000-01-03,2017-11-10
1365,CMPR,8.980416666666667,12.114989733059549,2005-09-29,2017-11-10
2044,EFX,8.951228323699423,17.853524982888434,2000-01-03,2017-11-10
2755,GIII,8.934740882917465,12.706365503080082,2005-02-25,2017-11-10
2285,EW,8.91963861150737,12.706365503080082,2005-02-25,2017-11-10
4711,NVO,8.892328398384926,12.706365503080082,2005-02-25,2017-11-10
1242,CHRW,8.839352519744725,17.853524982888434,2000-01-03,2017-11-10
1640,CVV,8.833333333333336,12.706365503080082,2005-02-25,2017-11-10
246,AKRX,8.8,12.706365503080082,2005-02-25,2017-11-10
2625,FWONA,8.773988361077278,11.490759753593428,2006-05-15,2017-11-10
1661,CY,8.618620302860348,12.706365503080082,2005-02-25,2017-11-10
