,Stock,Total_Return,Total_Years,Start_Date,End_Date
156,HD,2307.3172147001933,18.272416153319643,1981-09-22,1999-12-31
313,TWX,740.9338601701314,7.783709787816564,1992-03-19,1999-12-31
87,CSCO,670.0865282618579,9.765913757700206,1990-03-26,1999-12-31
222,MSFT,658.1369047619048,13.801505817932922,1986-03-13,1999-12-31
25,AMGN,652.8795070743953,15.312799452429843,1984-09-07,1999-12-31
335,WMT,634.4538650700309,19.994524298425734,1980-01-02,1999-12-31
324,VIAV,332.75252836162167,6.119096509240246,1993-11-17,1999-12-31
58,BRK-A,193.13793103448276,19.789185489390828,1980-03-17,1999-12-31
266,QCOM,176.27177870011826,8.041067761806982,1991-12-16,1999-12-31
244,ORCL,156.4779349534518,11.83025325119781,1988-03-02,1999-12-31
48,BBY,130.9814263948342,14.699520876112253,1985-04-19,1999-12-31
168,INTC,125.8604255640803,19.994524298425734,1980-01-02,1999-12-31
279,SCHW,120.7283950617284,10.50239561943874,1989-06-30,1999-12-31
23,AMAT,118.48680603152843,15.312799452429843,1984-09-07,1999-12-31
2,AABA,107.2156862745098,3.7180013689253935,1996-04-12,1999-12-31
62,CA,106.4536160545248,15.312799452429843,1984-09-07,1999-12-31
52,BEN,105.36760482481333,15.312799452429843,1984-09-07,1999-12-31
7,ADBE,79.0,13.379876796714578,1986-08-14,1999-12-31
75,CL,75.59138161829627,19.994524298425734,1980-01-02,1999-12-31
213,MDT,75.2119503945885,17.998631074606433,1981-12-31,1999-12-31
226,MXIM,73.78463329452852,9.765913757700206,1990-03-26,1999-12-31
191,KR,69.8260726615157,19.994524298425734,1980-01-02,1999-12-31
219,MRK,56.73380111829843,19.994524298425734,1980-01-02,1999-12-31
203,LUV,56.68281310000549,19.994524298425734,1980-01-02,1999-12-31
57,BMY,55.12146226415095,19.994524298425734,1980-01-02,1999-12-31
129,F,54.19596199524941,19.994524298425734,1980-01-02,1999-12-31
18,AFL,50.58750983993703,15.449691991786448,1984-07-19,1999-12-31
141,GE,50.08473742467101,19.994524298425734,1980-01-02,1999-12-31
247,PBI,49.045285460132625,17.987679671457904,1982-01-04,1999-12-31
246,PAYX,48.42424517181974,9.765913757700206,1990-03-26,1999-12-31
253,PFE,46.529502805184755,17.987679671457904,1982-01-04,1999-12-31
40,AXP,46.232515797365316,19.994524298425734,1980-01-02,1999-12-31
26,AMZN,45.42105263157895,2.625598904859685,1997-05-16,1999-12-31
179,JNJ,44.45520231213873,19.994524298425734,1980-01-02,1999-12-31
190,KO,40.77248217081232,19.994524298425734,1980-01-02,1999-12-31
176,JBL,39.183585313174945,6.661190965092403,1993-05-03,1999-12-31
236,NTAP,38.58227719760722,4.1095140314852845,1995-11-21,1999-12-31
218,MO,38.093493367024635,19.994524298425734,1980-01-02,1999-12-31
102,DIS,37.38667820069204,19.994524298425734,1980-01-02,1999-12-31
209,MCD,37.320395201129145,19.994524298425734,1980-01-02,1999-12-31
