,Date,Open,High,Low,Close,Volume,Stock_Name
0,1970-01-02,0.7587,0.8092,0.7587,0.8092,753088,BA
1,1979-12-31,4.0883,4.1305,4.0801,4.1136,1327214,BA
2,1970-01-02,0.7383,0.7538,0.7383,0.7538,83787,CVX
3,1979-12-31,2.4343,2.4581,2.4343,2.4343,163504,CVX
4,1970-01-02,1.0666,1.1097,1.0666,1.0924,62781,HON
5,1979-12-31,3.38,3.4403,3.3717,3.4148,207878,HON
6,1972-01-07,0.01592,0.01592,0.01592,0.01592,3787746,INTC
7,1979-12-31,0.28077,0.28868,0.28077,0.28077,3519525,INTC
8,1970-01-02,0.28338,0.29161,0.28338,0.29161,3496683,MCD
9,1979-12-31,0.8582,0.8663,0.8582,0.8582,785376,MCD
10,1970-01-02,0.0219,0.0219,0.0219,0.0219,11519926,MO
11,1979-12-31,0.10243,0.10243,0.10243,0.10243,6951678,MO
12,1970-01-02,0.32548,0.334,0.32548,0.334,283968,UTX
13,1979-12-31,1.1989,1.1989,1.1906,1.1906,564197,UTX
